hflu;spn;mcat
>lcl|NZ_QWLX01000001.1_cds_WP_005648548.1_1 [gene=yihI] [locus_tag=FA898_RS00015] [protein=Der GTPase-activating protein YihI] [protein_id=WP_005648548.1] [location=613..1173] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000660615.1_1 [gene=dnaA] [locus_tag=SPNHU17_RS00005] [protein=chromosomal replication initiator protein DnaA] [protein_id=WP_000660615.1] [location=197..1558] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658691.1_1 [gene=parC] [locus_tag=MC195_RS00005] [db_xref=GeneID:66584899] [protein=DNA topoisomerase IV subunit A] [protein_id=WP_003658691.1] [location=complement(join(1954412..1954607,1..2042))] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648547.1_2 [locus_tag=FA898_RS00020] [protein=DUF2489 domain-containing protein] [protein_id=WP_005648547.1] [location=1177..1617] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000581157.1_2 [gene=dnaN] [locus_tag=SPNHU17_RS00010] [protein=DNA polymerase III subunit beta] [protein_id=WP_000581157.1] [location=1717..2853] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569686.1_2 [locus_tag=MC195_RS00010] [db_xref=GeneID:66584900] [protein=4a-hydroxytetrahydrobiopterin dehydratase] [protein_id=WP_081569686.1] [location=complement(2176..2460)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005652269.1_3 [locus_tag=FA898_RS00025] [protein=response regulator] [protein_id=WP_005652269.1] [location=complement(1679..2305)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000285194.1_3 [locus_tag=SPNHU17_RS00015] [protein=DUF951 family protein] [protein_id=WP_000285194.1] [location=2918..3112] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569687.1_3 [locus_tag=MC195_RS00015] [db_xref=GeneID:66584901] [protein=hypothetical protein] [protein_id=WP_081569687.1] [location=2949..4907] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_136428986.1_4 [gene=lysA] [locus_tag=FA898_RS00030] [protein=diaminopimelate decarboxylase] [protein_id=WP_136428986.1] [location=complement(2511..3758)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001218707.1_4 [gene=ychF] [locus_tag=SPNHU17_RS00020] [protein=redox-regulated ATPase YchF] [protein_id=WP_001218707.1] [location=3196..4311] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_4 [locus_tag=MC195_RS00020] [db_xref=GeneID:66584902] [protein=MotA/TolQ/ExbB proton channel family protein] [pseudo=true] [location=4950..6346] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005652274.1_5 [locus_tag=FA898_RS00035] [protein=lipoprotein] [protein_id=WP_005652274.1] [location=complement(3806..3922)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000163932.1_5 [locus_tag=SPNHU17_RS00025] [protein=aminoacyl-tRNA hydrolase] [protein_id=WP_000163932.1] [location=4382..4951] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569688.1_5 [locus_tag=MC195_RS00025] [db_xref=GeneID:66584903] [protein=OmpA family protein] [protein_id=WP_081569688.1] [location=6445..7059] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005655473.1_6 [gene=cyaY] [locus_tag=FA898_RS00040] [protein=iron donor protein CyaY] [protein_id=WP_005655473.1] [location=4020..4325] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000258108.1_6 [gene=mfd] [locus_tag=SPNHU17_RS00030] [protein=transcription-repair coupling factor] [protein_id=WP_000258108.1] [location=4952..8461] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657094.1_6 [locus_tag=MC195_RS00030] [db_xref=GeneID:66584904] [protein=HNH endonuclease] [protein_id=WP_003657094.1] [location=7046..7897] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_015701827.1_7 [gene=recQ] [locus_tag=FA898_RS00045] [protein=DNA helicase RecQ] [protein_id=WP_015701827.1] [location=4327..6186] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001234978.1_7 [locus_tag=SPNHU17_RS00035] [protein=RNA-binding S4 domain-containing protein] [protein_id=WP_001234978.1] [location=8519..8785] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003663891.1_7 [locus_tag=MC195_RS00035] [db_xref=GeneID:66584905] [protein=PepSY domain-containing protein] [protein_id=WP_003663891.1] [location=complement(8027..9553)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648541.1_8 [gene=proS] [locus_tag=FA898_RS00050] [protein=proline--tRNA ligase] [protein_id=WP_005648541.1] [location=6271..7989] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000041909.1_8 [locus_tag=SPNHU17_RS00040] [protein=septum formation initiator family protein] [protein_id=WP_000041909.1] [location=8778..9146] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657091.1_8 [locus_tag=MC195_RS00040] [db_xref=GeneID:66584906] [protein=hypothetical protein] [protein_id=WP_003657091.1] [location=complement(9659..10132)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_075985423.1_9 [gene=lptD] [locus_tag=FA898_RS00055] [protein=LPS assembly protein LptD] [protein_id=WP_075985423.1] [location=complement(8077..10425)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001224760.1_9 [locus_tag=SPNHU17_RS00045] [protein=serine hydrolase] [protein_id=WP_001224760.1] [location=9266..10534] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657089.1_9 [locus_tag=MC195_RS00050] [db_xref=GeneID:66584907] [protein=N-acetyltransferase] [protein_id=WP_003657089.1] [location=complement(10465..10725)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648538.1_10 [locus_tag=FA898_RS00060] [protein=multicopper oxidase domain-containing protein] [protein_id=WP_005648538.1] [location=complement(10545..11954)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001208981.1_10 [gene=tilS] [locus_tag=SPNHU17_RS00050] [protein=tRNA lysidine(34) synthetase TilS] [protein_id=WP_001208981.1] [location=10531..11808] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003672044.1_10 [locus_tag=MC195_RS00055] [db_xref=GeneID:66584908] [protein=hypothetical protein] [protein_id=WP_003672044.1] [location=complement(10799..11119)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648537.1_11 [locus_tag=FA898_RS00065] [protein=1-acylglycerol-3-phosphate O-acyltransferase] [protein_id=WP_005648537.1] [location=complement(11956..12678)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000892184.1_11 [gene=hpt] [locus_tag=SPNHU17_RS00055] [protein=hypoxanthine phosphoribosyltransferase] [protein_id=WP_000892184.1] [location=11812..12354] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658683.1_11 [gene=ettA] [locus_tag=MC195_RS00060] [db_xref=GeneID:66584909] [protein=energy-dependent translational throttle protein EttA] [protein_id=WP_003658683.1] [location=11508..13169] [gbkey=CDS]
